OID,FID_,X,Y,BCE_Firth_
499,499,1808833.082557273,5879040.544995079,1.701924057
500,500,1809199.56754004,5879021.453948091,1.602987015
501,501,1809079.484654426,5879004.494748903,1.649688317
502,502,1809202.658248578,5878831.667267942,1.415854549
503,503,1809239.365971658,5878828.455346222,1.643180662
504,504,1809214.277398233,5878811.280323167,1.737796303
505,505,1809749.5831419,5878673.606524181,1.540190499
506,506,1809906.628605382,5878480.418533816,1.604897251
507,507,1810035.357143123,5878447.849201147,1.494411789
508,508,1809958.696324149,5878433.989447311,1.590337509
509,509,1810013.752211392,5878402.690614266,1.449050032
510,510,1809961.685241302,5878234.430762687,1.058875007
511,511,1810888.094470348,5878158.965611938,1.528973008
512,512,1810968.090988732,5878129.098636071,1.630135206
513,513,1812127.48586039,5878080.271950561,1.577506375
514,514,1812207.20268358,5878078.258360198,1.544262497
515,515,1811011.183142536,5878097.687828592,1.586290886
516,516,1811678.146666577,5878090.86678315,1.720996611
517,517,1812182.707921107,5878074.415960879,1.642706415
518,518,1812198.979177289,5878068.491729795,1.55148099
519,519,1811021.5705636,5878087.776200019,1.648991234
520,520,1811042.568849914,5878076.950729115,1.446897962
521,521,1811310.072004824,5878071.537038286,1.612065414
522,522,1812151.925298851,5878060.952745961,1.623725281
523,523,1811142.55572383,5878074.312586737,1.68652574
524,524,1812182.028608331,5878029.022392122,1.60312502
525,525,1812816.365155764,5877564.124324156,1.504550017
